measured_at,qr_code,raw_current,current_mA,result
2026-04-06T11:55:51+09:00,96575N1100/6A25100200184,1916,19.16,PASS
2026-04-06T12:05:08+09:00,96575N1100/6A25100200184,1910,19.10,PASS
2026-04-06T12:05:56+09:00,96575N1100/6A25100200184,0,0.00,FAIL
2026-04-06T12:06:48+09:00,96575N1100/6A25100200184,1909,19.09,PASS
2026-04-06T12:07:38+09:00,96575N1100/6A25100200184,1863,18.63,PASS
2026-04-06T12:08:11+09:00,96575N1100/6A25100200184,1913,19.13,PASS
2026-04-06T12:09:12+09:00,96575N1100/6A25100200184,1912,19.12,PASS
2026-04-07T15:35:20+09:00,96575N1100/6A25100200184,1910,19.10,PASS
2026-04-07T15:38:29+09:00,96575N1100/6A25100200184,1910,19.10,PASS
2026-04-07T15:38:52+09:00,96575N1100/6A25100200184,1914,19.14,PASS
2026-04-07T15:39:17+09:00,96575N1100/6A25100200184,1907,19.07,PASS
2026-04-09T09:06:27+09:00,96575N1100/6A25100200184,0,0.00,FAIL
2026-04-09T09:07:14+09:00,96575N1100/6A25100200184,0,0.00,FAIL
2026-04-09T09:13:26+09:00,96575N1100/6A25100200184,1926,19.26,PASS
2026-04-09T09:13:39+09:00,96575N1100/6A25100200184,1908,19.08,PASS
2026-04-10T14:42:47+09:00,RESTART-KILL-001,458,4.58,PASS,analog
2026-04-10T14:52:42+09:00,96575N1050/4A25121100085,459,4.59,PASS,analog
2026-04-10T14:52:54+09:00,96575N1050/4A25121100085,459,4.59,PASS,analog
2026-04-10T15:11:18+09:00,96575N1100/6A25100200184,1896,18.96,PASS,sigmastudio
2026-04-10T15:11:33+09:00,96575N1100/6A25100200184,1906,19.06,PASS,sigmastudio
2026-04-10T15:11:46+09:00,96575N1100/6A25100200184,1888,18.88,PASS,sigmastudio
2026-04-10T15:13:12+09:00,96575N1050/4A25121100085,459,4.59,PASS,analog
2026-04-10T15:13:15+09:00,96575N1050/4A25121100085,459,4.59,PASS,analog
2026-04-10T15:40:01+09:00,96575N1100/6A25100200184,459,4.59,PASS,analog
2026-04-10T15:40:12+09:00,96575N1050/4A25121100085,458,4.58,PASS,analog
2026-04-10T15:40:17+09:00,96575N1100/6A25100200184,458,4.58,PASS,analog
2026-04-10T15:40:26+09:00,96575N1050/4A25121100085,459,4.59,PASS,analog
2026-04-10T15:40:32+09:00,96575N1050/4A25121100085,459,4.59,PASS,analog
2026-04-10T15:40:37+09:00,96575N1050/4A25121100085,459,4.59,PASS,analog
2026-04-10T15:40:45+09:00,96575N1050/4A25121100085,459,4.59,PASS,analog
2026-04-10T15:40:50+09:00,96575N1050/4A25121100085,459,4.59,PASS,analog
2026-04-10T15:41:00+09:00,96575N1050/4A25121100085,458,4.58,PASS,analog
2026-04-10T15:41:06+09:00,96575N1050/4A25121100085,459,4.59,PASS,analog
2026-04-10T15:41:59+09:00,96575N1050/4A25121100085,459,4.59,PASS,analog
2026-04-10T15:42:12+09:00,96575N1050/4A25121100085,459,4.59,PASS,analog
2026-04-10T15:42:22+09:00,96575N1050/4A25121100085,459,4.59,PASS,analog
2026-04-10T15:42:27+09:00,96575N1050/4A25121100085,459,4.59,PASS,analog
2026-04-10T15:48:25+09:00,96575N1050/4A25121100085,458,4.58,PASS,analog
2026-04-10T15:48:31+09:00,96575N1050/4A25121100085,458,4.58,PASS,analog
2026-04-10T15:48:44+09:00,96575N1050/4A25121100085,459,4.59,PASS,analog
2026-04-10T15:48:48+09:00,96575N1050/4A25121100085,458,4.58,PASS,analog
2026-04-10T15:48:54+09:00,96575N1050/4A25121100085,459,4.59,PASS,analog
2026-04-10T15:48:57+09:00,96575N1050/4A25121100085,458,4.58,PASS,analog
2026-04-10T15:49:01+09:00,96575N1050/4A25121100085,458,4.58,PASS,analog
2026-04-10T15:49:06+09:00,96575N1050/4A25121100085,458,4.58,PASS,analog
2026-04-10T15:49:11+09:00,96575N1050/4A25121100085,458,4.58,PASS,analog
2026-04-10T15:49:17+09:00,96575N1050/4A25121100085,458,4.58,PASS,analog
2026-04-10T15:49:57+09:00,96575N1100/6A25100200184,458,4.58,PASS,analog
2026-04-10T15:51:31+09:00,96575N1100/6A25100200184,458,4.58,PASS,analog
2026-04-10T15:51:35+09:00,96575N1100/6A25100200184,458,4.58,PASS,analog
2026-04-10T15:51:43+09:00,96575N1100/6A25100200184,458,4.58,PASS,analog
2026-04-10T15:52:00+09:00,96575N1100/6A25100200184,458,4.58,PASS,analog
2026-04-10T15:54:46+09:00,96575N1100/6A25100200184,458,4.58,PASS,analog
2026-04-10T15:55:09+09:00,96575N1100/6A25100200184,458,4.58,PASS,analog
2026-04-10T15:55:58+09:00,96575N1100/6A25100200184,458,4.58,PASS,analog
2026-04-10T15:56:12+09:00,96575N1100/6A25100200184,458,4.58,PASS,analog
2026-04-10T16:04:24+09:00,96575N1050/4A25121100085,457,4.57,PASS,analog
2026-04-10T16:04:35+09:00,96575N1050/4A25121100085,457,4.57,PASS,analog
2026-04-10T16:04:46+09:00,96575N1050/4A25121100085,457,4.57,PASS,analog
2026-04-10T16:05:13+09:00,96575N1050/4A25121100085,458,4.58,PASS,analog
2026-04-10T16:06:13+09:00,96575N1100/6A25100200184,1897,18.97,PASS,sigmastudio
2026-04-10T16:06:51+09:00,96575N1100/6A25100200184,1893,18.93,PASS,sigmastudio
2026-04-10T16:07:40+09:00,96575N1100/6A25100200184,1902,19.02,PASS,sigmastudio
2026-04-10T16:13:14+09:00,96575N1100/6A25100200184,0,0.00,FAIL,sigmastudio
2026-04-10T16:13:36+09:00,96575N1100/6A25100200184,1906,19.06,PASS,sigmastudio
2026-04-10T16:15:32+09:00,96575N1100/6A25100200184,1045,10.45,PASS,sigmastudio
2026-04-10T16:16:02+09:00,96575N1100/6A25100200184,1894,18.94,PASS,sigmastudio
2026-04-10T16:16:57+09:00,96575ㅜ1100/6ㅁ25100200184,1915,19.15,PASS,sigmastudio
2026-04-10T16:17:44+09:00,96575N1100/6A25100200184,1900,19.00,PASS,sigmastudio
2026-04-10T17:05:28+09:00,96575N1100/6A25100200184,1905,19.05,PASS,sigmastudio
2026-04-10T17:05:54+09:00,96575N1100/6A25100200184,1928,19.28,PASS,sigmastudio
2026-04-10T17:08:12+09:00,96575N1100/6A25100200184,1904,19.04,PASS,sigmastudio
2026-04-10T17:08:39+09:00,96575N1100/6A25100200184,1906,19.06,PASS,sigmastudio
2026-04-10T17:10:14+09:00,96575N1100/6A25100200184,1898,18.98,PASS,sigmastudio
2026-04-10T17:11:06+09:00,96575N1100/6A25100200184,1902,19.02,PASS,sigmastudio
2026-04-10T17:12:39+09:00,96575N1100/6A25100200184,1905,19.05,PASS,sigmastudio
2026-04-10T17:13:01+09:00,96575N1100/6A25100200184,1899,18.99,PASS,sigmastudio
2026-04-10T17:13:17+09:00,96575N1100/6A25100200184,1899,18.99,PASS,sigmastudio
2026-04-10T17:13:41+09:00,96575N1100/6A25100200184,1895,18.95,PASS,sigmastudio
2026-04-10T17:17:03+09:00,96575N1100/6A25100200184,1902,19.02,PASS,sigmastudio
2026-04-10T17:27:32+09:00,96575N1100/6A25100200184,1908,19.08,PASS,sigmastudio
2026-04-10T17:28:58+09:00,96575N1100/6A25100200184,1904,19.04,PASS,sigmastudio
2026-04-10T17:31:17+09:00,96575N1050/4A25121100085,455,4.55,PASS,analog
2026-04-10T17:31:24+09:00,96575N1050/4A25121100085,456,4.56,PASS,analog
2026-04-10T17:31:37+09:00,96575N1050/4A25121100085,456,4.56,PASS,analog
2026-04-10T17:31:54+09:00,96575N1050/4A25121100085,456,4.56,PASS,analog
2026-04-10T17:32:09+09:00,96575N1050/4A25121100085,456,4.56,PASS,analog
2026-04-10T17:34:36+09:00,96575N1100/6A25100200184,1897,18.97,PASS,sigmastudio
2026-04-10T17:39:49+09:00,96575N1100/6A25100200184,1896,18.96,PASS,sigmastudio
